Hanja,Pronunciation,Definition,Alternate Pronunciation,Examples,Radicals,Reading Level,Writing Level
齒,치,이,,"齒科 - 치과 (a dentist)
齒牙 - 치아 (tooth)
齒- - 칫솔 (a toothbrush)
齒髓 - 치수 (pulp)
齒藥 - 치약 (toothpaste)
蟲齒 - 충치 (caries)
","人, 凵, 止, 歯",4II,3II
値,치,값,,"價値 - 가치 (value)
價値觀 - 가치관 (one's values or sense of values, a value system)
近似値 - 근사치 (approximation)
","一, ｜, 化, 十, 目",3II,2
置,치,둘,,"位置 - 위치 (situation)
設置 - 설치 (establisment, institution)
設置- - 설치하다 (to found, establish, create)
設置- - 설치되다 (to be established)
裝置 - 장치 (installation)
配置 - 배치 (disposition)
","十, 目, 買",4II,3II
恥,치,부끄러울,,"恥辱 - 치욕 (shame)
不恥下問 - 불치하문 (Don't be afraid to enquire of your juniors)
","心, 耳",3II,2
則,칙,법칙,"""곧 즉""으로도 읽는다.","規則 - 규칙 (rule)
規則的 - 규칙적인 (regular)
不規則 - 불규칙 (irregularity)
原則 - 원칙 (principle)
法則 - 법칙 (a law, a rule)
變則 - 변칙 (irregularity)
","刈, 貝",5,4
親,친,친할,,"親舊 - 친구 (a friend)
親切 - 친절 (gentleness)
親戚 - 친척 (relative)
父親 - 부친 (father)
親- - 친해지다 (to get close, to get friendly)
親- - 친하다 (to be intimate, familiar, close, friendly)
","八, 十, 木, 立, 見, 辛",6,5
七,칠,일곱,,"七 - 칠 (seven)
七十 - 칠십 (seventy)
北斗七星 - 북두칠성 (Great Bear)
七月 - 칠월 (July)
","ノ, 乙, 匕","Reading error 七, 1553","Writing error 七, 1553"
漆,칠,옻,,"漆- - 칠하다 (layer, paint, coat)
漆板 - 칠판 (blackboard)
","个, 汁, 木, 水",3II,2
針,침,바늘,,"針 - 침 (stinger)
方針 - 방침 (policy)
指針 - 지침 (pointer)
羅針盤 - 나침반 (a compass)
磁針 - 자침 (magnetic needle)
針路 - 침로 (course)
","十, 金",4,3
侵,침,침노할,,"侵入 - 침입 (invasion)
侵入 - 침입하다 (raid)
侵害 - 침해 (violation)
侵掠 - 침략 (invasion)
侵略的 - 침략적인 (aggressive)
侵掠 - 침략하다 (foray)
","化, 冖, 又, ヨ",4II,3II
浸,침,담글,,"浸水 - 침수 (inundation)
浸水 - 침수하다 (inundate)
浸蝕 - 침식 (erosion)
","冖, 又, ヨ, 汁",3II,2
寢,침,잘,,"寢臺 - 침대 (bed)
寢室 - 침실 (bedroom)
就寢 - 취침 (go to bed[sleep])
寢具 - 침구 (bedding)
","冖, 又, 宀, ヨ, 爿",4,3
